instrumentation_library,service_name,traceId,spanId,operation,kind,duration,span_status,http.status_code,parent.service_name,parent.operation,parent.kind
io.opentelemetry.mongo-3.1,meeting-service,5eb70927e125853655e414da10fa3f39,b111e0ec9a2a9e81,createIndexes meetingdb.Meeting,3,72352640,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,3db330b9208493af9242ae924c8cda61,a6dabbc5563c37f8,basic.consume,3,24783368,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,7e4a80abf165a73cb93973d2f0e8f2c1,95c057557b829806,queue.declare,3,2964808,1,,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,b2a134e67222ff458d90f35778da0da8,2e53502685285859,basic.qos,3,5588131,1,,,,
io.opentelemetry.jdbc,user-service,0dbe3cc958ff2a1067baf4397f050343,9cde31f041468287,SELECT userdb.userdb,3,1459355,1,,,,
io.opentelemetry.jdbc,user-service,2833ac5645bea2349ae5850885ab0b7a,a40f97becf31d3a0,SELECT userdb.userdb,3,1589650,1,,,,
io.opentelemetry.jdbc,user-service,9e4e2ac2660fdcb748b5de25efb2092e,f4b2e62a3eba1b59,SELECT userdb.userdb,3,1395366,1,,,,
io.opentelemetry.http-url-connection,websocket-service,c37ffdb56b3358a86a523ea176c6bf96,16dd9f88749fa4dc,GET,3,933902539,1,200,,,
io.opentelemetry.tomcat-10.0,websocket-service,50932bb685b4a6465479b8276f8778ae,3f5ed31736c12d79,GET /websocket-service/wss/**,2,714086638,1,101,,,
io.opentelemetry.tomcat-10.0,websocket-service,ad61d57f6cb1110f0abcfb205c6f368f,b8efa53746c1827e,GET /websocket-service/wss/**,2,179086227,1,200,,,
io.opentelemetry.hibernate-6.0,user-service,4705f53074769b324484ca723675e268,35f1058027e44b84,SELECT,1,67232412,1,,,,
io.opentelemetry.jdbc,user-service,4705f53074769b324484ca723675e268,b55042809c2d4f92,SELECT userdb,3,6656103,1,,user-service,SELECT,1.0
io.opentelemetry.spring-data-1.8,user-service,4705f53074769b324484ca723675e268,2e0222e282bfb97a,FriendRelationRepository.getFriends,1,105875261,1,,,,
io.opentelemetry.tomcat-10.0,user-service,4705f53074769b324484ca723675e268,73cfbdea93ea364a,GET /user-service/friend,2,1895443371,1,200,,,
io.opentelemetry.hibernate-6.0,user-service,4281ad7d1c1157caca35c8ba428b2ff4,cfec565745fdf676,SELECT,1,3080943,1,,,,
io.opentelemetry.jdbc,user-service,4281ad7d1c1157caca35c8ba428b2ff4,e9cbf7c48fecb1a4,SELECT userdb,3,1417457,1,,user-service,SELECT,1.0
io.opentelemetry.spring-data-1.8,user-service,4281ad7d1c1157caca35c8ba428b2ff4,cc950c23515f69c4,FriendRelationRepository.getFriends,1,3545080,1,,,,
io.opentelemetry.tomcat-10.0,user-service,4281ad7d1c1157caca35c8ba428b2ff4,3c24c615eea4dd43,GET /user-service/friend,2,8881370,1,200,,,
io.opentelemetry.rabbitmq-2.7,websocket-service,5af865f49cbb15507e94964d78fbba43,808b449788de873f,queue.bind,3,2249411,1,,,,
io.opentelemetry.tomcat-10.0,chat-service,7c229a04a62bfd6693acd9071d0fe6f0,7785ce08331b6536,OPTIONS /chat-service/message/friend/{friendId},2,128402921,1,200,,,
io.opentelemetry.tomcat-10.0,chat-service,fec684a8b3e4e29950e0190813bb8403,16108cb9cd984668,GET /chat-service/message/friend/{friendId},2,1710582307,1,200,,,
io.opentelemetry.http-url-connection,chat-service,fec684a8b3e4e29950e0190813bb8403,b0c2938c30a13737,GET,3,873530067,1,200,chat-service,GET /chat-service/message/friend/{friendId},2.0
io.opentelemetry.http-url-connection,chat-service,fec684a8b3e4e29950e0190813bb8403,ca84fc7b60b68d22,GET,3,270288277,1,200,chat-service,GET /chat-service/message/friend/{friendId},2.0
io.opentelemetry.mongo-3.1,chat-service,fec684a8b3e4e29950e0190813bb8403,a1820786dbfb22e9,find chatdb.Message,3,43121455,1,,chat-service,GET /chat-service/message/friend/{friendId},2.0
io.opentelemetry.java-http-client,chat-service,fec684a8b3e4e29950e0190813bb8403,72871114722b5ca7,GET,3,109877684,1,200,chat-service,GET /chat-service/message/friend/{friendId},2.0
io.opentelemetry.hibernate-6.0,user-service,fec684a8b3e4e29950e0190813bb8403,c70899955df04775,SELECT meetingteam.userservice.models.FriendRelation,1,6236401,1,,,,
io.opentelemetry.jdbc,user-service,fec684a8b3e4e29950e0190813bb8403,33e2e06ce614272a,SELECT userdb.friend_relation,3,900002,1,,user-service,SELECT meetingteam.userservice.models.FriendRelation,1.0
io.opentelemetry.spring-data-1.8,user-service,fec684a8b3e4e29950e0190813bb8403,ea9d121e6068c851,FriendRelationRepository.havingFriend,1,12338050,1,,,,
io.opentelemetry.tomcat-10.0,user-service,fec684a8b3e4e29950e0190813bb8403,5749ec4c4f99b6b7,GET /user-service/friend/private/is-friend,2,21691781,1,200,chat-service,GET,3.0
io.opentelemetry.java-http-client,chat-service,c45cd717253848584527358bf1147dd1,2695e490d4b96461,GET,3,7637000,1,200,,,
io.opentelemetry.hibernate-6.0,user-service,c45cd717253848584527358bf1147dd1,c6bda8aa912ff5eb,SELECT meetingteam.userservice.models.FriendRelation,1,2134329,1,,,,
io.opentelemetry.jdbc,user-service,c45cd717253848584527358bf1147dd1,c954ab9a8759337a,SELECT userdb.friend_relation,3,779263,1,,user-service,SELECT meetingteam.userservice.models.FriendRelation,1.0
